Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Unemployed,18-24,High school,Retail,Delhi,Medium,,90000.0,2023-03-16
Unemployed,25-34,High school,,Urban,,27.0,142200.0,2023-03-17
Unemployed,18-24,Master's,Finance,Suburban,Low,,125800.0,2023-03-18
Employed,25-34,Bachelor’s,Technology,Urban,Medium,,,2023-03-19
Unemployed,35-44,High school,Education,Mumbai,,,100200.0,2023-03-20
Unemployed,,Master's,Technology,Suburban,Low,,140200.0,2023-03-21
Employed,25-34,Bachelor’s,Education,Delhi,Low,,17900.0,2023-03-22
Employed,25-34,Bachelor’s,Healthcare,Hyderabad,High,22.0,79100.0,2023-03-23
Unemployed,18-24,Master's,Technology,Rural,Low,,,2023-03-24
Employed,18-24,High school,Healthcare,Suburban,Medium,4.0,46100.0,2023-03-25
Employed,25-34,Diploma,Finance,Mumbai,,26.0,120100.0,2023-03-26
,55+,Bachelor’s,Technology,Bangalore,Medium,,135100.0,2023-03-27
Unemployed,55+,Bachelor’s,Retail,Delhi,Low,,56300.0,2023-03-28
Unemployed,25-34,PhD,Retail,Suburban,High,,105400.0,2023-03-29
,55+,Bachelor’s,Finance,Delhi,,12.0,148700.0,2023-03-30
Employed,35-44,,Finance,Hyderabad,Low,26.0,88400.0,2023-03-31
Employed,45-54,Diploma,Finance,Bangalore,High,16.0,124600.0,2023-04-01
Employed,35-44,Bachelor’s,Finance,Hyderabad,Medium,20.0,19000.0,2023-04-02
Employed,35-44,Master's,Retail,Bangalore,High,21.0,66200.0,2023-04-03
Employed,,PhD,Education,Mumbai,High,,81600.0,2023-04-04
,25-34,High school,Healthcare,Urban,Low,,,2023-04-05
Unemployed,25-34,PhD,Finance,Hyderabad,Low,26.0,,2023-04-06
Employed,25-34,Diploma,Healthcare,Hyderabad,Medium,,,2023-04-07
Employed,25-34,PhD,,Urban,High,2.0,8900.0,2023-04-08
Unemployed,25-34,Diploma,Retail,Hyderabad,High,,124300.0,2023-04-09
Employed,45-54,PhD,Healthcare,,Low,12.0,141400.0,2023-04-10
Employed,18-24,PhD,Technology,Bangalore,,,50600.0,2023-04-11
Employed,45-54,,Technology,Delhi,Medium,25.0,76500.0,2023-04-12
Unemployed,25-34,High school,Retail,Mumbai,Medium,,,2023-04-13
Employed,,Diploma,Healthcare,Rural,Medium,,44200.0,2023-04-14
Employed,45-54,Bachelor’s,Retail,Urban,High,0.0,137100.0,2023-04-15
Employed,18-24,Master's,Healthcare,Urban,High,,,2023-04-16
Unemployed,25-34,Bachelor’s,Healthcare,Urban,Low,16.0,73800.0,2023-04-17
Employed,25-34,Master's,Retail,Urban,Low,,,2023-04-18
Employed,18-24,Diploma,Technology,Delhi,High,,40300.0,2023-04-19
,18-24,Master's,Healthcare,Mumbai,Medium,26.0,25900.0,2023-04-20
,25-34,,Education,,High,5.0,68500.0,2023-04-21
Unemployed,35-44,PhD,Finance,Delhi,Low,28.0,44700.0,2023-04-22
Unemployed,18-24,PhD,Healthcare,Urban,High,10.0,20200.0,2023-04-23
Employed,25-34,,,Urban,Medium,1.0,130200.0,2023-04-24
Employed,25-34,Master's,Education,Suburban,Low,15.0,7600.0,2023-04-25
Unemployed,45-54,High school,Finance,Delhi,Low,,109500.0,2023-04-26
Employed,25-34,PhD,Retail,Urban,Low,,26900.0,2023-04-27
Employed,35-44,High school,Technology,Rural,Low,7.0,21000.0,2023-04-28
,25-34,,Finance,Urban,Medium,,5400.0,2023-04-29
Employed,18-24,PhD,,Mumbai,High,,35200.0,2023-04-30
Employed,18-24,Master's,Healthcare,Suburban,Medium,,,2023-05-01
Employed,45-54,PhD,Technology,Hyderabad,High,18.0,10500.0,2023-05-02
,45-54,High school,Healthcare,Urban,High,0.0,123100.0,2023-05-03
Employed,,High school,Technology,Mumbai,Medium,8.0,43400.0,2023-05-04
Employed,45-54,,Finance,,Medium,20.0,79000.0,2023-05-05
Employed,25-34,Diploma,Education,Urban,High,,125300.0,2023-05-06
Unemployed,25-34,PhD,Technology,Urban,Medium,23.0,11500.0,2023-05-07
Unemployed,55+,PhD,Technology,,Medium,,,2023-05-08
Employed,,High school,Healthcare,Bangalore,Low,6.0,,2023-05-09
Unemployed,35-44,High school,Retail,Hyderabad,Medium,,23500.0,2023-05-10
Unemployed,18-24,Bachelor’s,Education,Delhi,,,54800.0,2023-05-11
,35-44,Bachelor’s,Finance,,Medium,,140000.0,2023-05-12
Unemployed,18-24,Master's,Finance,Urban,Low,,,2023-05-13
,45-54,High school,Retail,Urban,High,,110800.0,2023-05-14
Employed,25-34,Master's,Finance,Suburban,,11.0,67000.0,2023-05-15
Employed,25-34,High school,Finance,Bangalore,,,109800.0,2023-05-16
Employed,45-54,PhD,Healthcare,Urban,Low,,,2023-05-17
Employed,18-24,Bachelor’s,Retail,Bangalore,,18.0,,2023-05-18
Unemployed,35-44,Master's,Retail,Mumbai,Medium,,65300.0,2023-05-19
Employed,35-44,High school,Technology,Urban,Low,,76500.0,2023-05-20
Employed,25-34,,Technology,Hyderabad,Low,5.0,141000.0,2023-05-21
Employed,18-24,Diploma,Healthcare,Delhi,High,,8000.0,2023-05-22
Unemployed,25-34,,Healthcare,Bangalore,,,52800.0,2023-05-23
Employed,25-34,Bachelor’s,Education,Suburban,,,96300.0,2023-05-24
Employed,,,Retail,Bangalore,High,0.0,103700.0,2023-05-25
Employed,25-34,Bachelor’s,Education,Rural,Low,,100700.0,2023-05-26
Unemployed,18-24,Master's,Finance,Urban,High,17.0,122200.0,2023-05-27
Unemployed,25-34,High school,Finance,,Medium,,,2023-05-28
Employed,25-34,,Healthcare,Rural,,,22700.0,2023-05-29
Employed,18-24,PhD,Healthcare,Urban,Medium,28.0,,2023-05-30
Unemployed,18-24,Bachelor’s,Technology,Bangalore,Medium,,89900.0,2023-05-31
Employed,18-24,Master's,,Delhi,Low,30.0,65200.0,2023-06-01
Employed,18-24,High school,Healthcare,Delhi,High,,,2023-06-02
Employed,25-34,Diploma,Retail,Hyderabad,High,,97100.0,2023-06-03
,18-24,High school,Education,Bangalore,,5.0,40400.0,2023-06-04
Employed,18-24,Master's,Retail,Suburban,High,,102600.0,2023-06-05
Unemployed,55+,Master's,Retail,Urban,High,,125900.0,2023-06-06
Unemployed,25-34,,Finance,Bangalore,,5.0,135500.0,2023-06-07
Employed,55+,Master's,Education,Rural,Medium,,,2023-06-08
Employed,25-34,Bachelor’s,Education,Hyderabad,,0.0,22400.0,2023-06-09
Unemployed,45-54,,Healthcare,,Medium,,50000.0,2023-06-10
Employed,55+,Bachelor’s,Healthcare,Urban,,,81200.0,2023-06-11
Employed,55+,Master's,Retail,,High,,119200.0,2023-06-12
Employed,35-44,Diploma,Retail,Hyderabad,High,,106600.0,2023-06-13
Employed,18-24,Master's,Healthcare,Mumbai,Medium,3.0,44700.0,2023-06-14
,25-34,Diploma,Education,Bangalore,Medium,19.0,37600.0,2023-06-15
Unemployed,18-24,Bachelor’s,Healthcare,Hyderabad,High,,131300.0,2023-06-16
Employed,,PhD,Education,Suburban,Medium,,118300.0,2023-06-17
Employed,25-34,PhD,Retail,Urban,Low,,75300.0,2023-06-18
Unemployed,55+,Diploma,Technology,,High,19.0,53300.0,2023-06-19
Unemployed,18-24,Bachelor’s,Healthcare,Urban,Low,,88400.0,2023-06-20
Unemployed,55+,Master's,Education,Mumbai,Low,19.0,110800.0,2023-06-21
Unemployed,55+,Bachelor’s,Education,Hyderabad,Low,28.0,115100.0,2023-06-22
Employed,25-34,Bachelor’s,Education,Hyderabad,,9.0,11800.0,2023-06-23
Employed,55+,High school,Retail,,High,,41000.0,2023-06-24
Unemployed,35-44,PhD,Retail,Urban,High,23.0,16400.0,2023-06-25
Unemployed,,Master's,Technology,Hyderabad,Low,18.0,80100.0,2023-06-26
Unemployed,25-34,High school,Retail,Urban,,26.0,,2023-06-27
Unemployed,45-54,,Retail,Urban,High,,21200.0,2023-06-28
Unemployed,18-24,High school,Technology,Urban,Low,,12500.0,2023-06-29
Unemployed,45-54,PhD,Retail,Suburban,High,,70700.0,2023-06-30
Unemployed,18-24,High school,Retail,Suburban,Low,29.0,96000.0,2023-07-01
Employed,18-24,Master's,Healthcare,Suburban,Low,,123200.0,2023-07-02
Employed,25-34,Master's,,Suburban,,,,2023-07-03
Unemployed,35-44,PhD,Healthcare,Urban,Medium,5.0,54200.0,2023-07-04
Unemployed,55+,Master's,Healthcare,Suburban,Medium,,24000.0,2023-07-05
Unemployed,55+,Bachelor’s,Healthcare,Rural,,,65100.0,2023-07-06
,25-34,Master's,,Suburban,High,,85900.0,2023-07-07
,,Bachelor’s,Healthcare,Suburban,High,,67000.0,2023-07-08
Unemployed,55+,Bachelor’s,Finance,Mumbai,Medium,,114100.0,2023-07-09
Employed,25-34,High school,Education,Mumbai,Medium,,30100.0,2023-07-10
Unemployed,,Bachelor’s,Technology,Bangalore,Low,17.0,139100.0,2023-07-11
Unemployed,,High school,Retail,Rural,High,,140500.0,2023-07-12
Unemployed,18-24,Bachelor’s,Healthcare,Hyderabad,Low,,60500.0,2023-07-13
Employed,18-24,High school,Technology,Delhi,Low,,58000.0,2023-07-14
Employed,,Diploma,Finance,Mumbai,Medium,24.0,118200.0,2023-07-15
Employed,18-24,High school,Technology,Mumbai,High,29.0,77200.0,2023-07-16
Employed,45-54,Bachelor’s,Finance,Urban,High,24.0,96400.0,2023-07-17
Employed,25-34,Bachelor’s,Technology,Suburban,Medium,14.0,,2023-07-18
Unemployed,18-24,Master's,Retail,Delhi,High,,,2023-07-19
Employed,55+,Diploma,Education,Urban,Low,,116300.0,2023-07-20
Employed,45-54,Bachelor’s,Retail,,Medium,29.0,,2023-07-21
Employed,18-24,,Education,Mumbai,Medium,,66400.0,2023-07-22
,25-34,Diploma,Finance,Mumbai,Medium,13.0,32900.0,2023-07-23
Unemployed,35-44,,Healthcare,Urban,Medium,,125900.0,2023-07-24
Employed,18-24,,,Urban,Medium,22.0,82700.0,2023-07-25
,55+,Bachelor’s,Retail,Bangalore,High,6.0,,2023-07-26
Unemployed,35-44,,,Rural,,28.0,102300.0,2023-07-27
Employed,25-34,PhD,Healthcare,Delhi,High,,121300.0,2023-07-28
,18-24,PhD,Education,,Low,20.0,64500.0,2023-07-29
Unemployed,25-34,Diploma,Retail,Urban,Low,,75200.0,2023-07-30
Unemployed,45-54,Bachelor’s,Healthcare,Rural,Medium,11.0,74200.0,2023-07-31
Unemployed,55+,Master's,Technology,Suburban,Medium,18.0,127100.0,2023-08-01
Employed,25-34,High school,Education,Rural,High,14.0,68600.0,2023-08-02
Employed,25-34,Diploma,Healthcare,Delhi,,,,2023-08-03
,25-34,PhD,Technology,Mumbai,,,37700.0,2023-08-04
Employed,35-44,Bachelor’s,Healthcare,Delhi,Low,,76000.0,2023-08-05
Employed,,PhD,Education,Delhi,High,24.0,,2023-08-06
Employed,55+,PhD,Education,Hyderabad,High,21.0,31500.0,2023-08-07
Unemployed,25-34,Bachelor’s,Healthcare,Rural,Low,,126700.0,2023-08-08
Unemployed,55+,PhD,Finance,Hyderabad,,0.0,,2023-08-09
,35-44,Diploma,Technology,Mumbai,Low,13.0,6500.0,2023-08-10
,45-54,Bachelor’s,Retail,Hyderabad,High,,45500.0,2023-08-11
Employed,18-24,Bachelor’s,Retail,Hyderabad,Medium,20.0,22300.0,2023-08-12
,18-24,,Technology,Urban,High,,6500.0,2023-08-13
Unemployed,45-54,High school,Healthcare,Urban,High,,,2023-08-14
Employed,25-34,Master's,Technology,Hyderabad,High,27.0,,2023-08-15
Unemployed,,,Retail,Urban,High,22.0,107400.0,2023-08-16
Unemployed,,Bachelor’s,Technology,Bangalore,Low,,83800.0,2023-08-17
Unemployed,18-24,High school,Retail,Delhi,High,25.0,70400.0,2023-08-18
Employed,25-34,PhD,Technology,Hyderabad,Low,2.0,105700.0,2023-08-19
Unemployed,35-44,Diploma,,Mumbai,Medium,10.0,11300.0,2023-08-20
Employed,25-34,High school,Education,,Medium,,,2023-08-21
Unemployed,45-54,,Healthcare,Urban,High,22.0,,2023-08-22
Unemployed,18-24,Bachelor’s,Finance,Delhi,High,7.0,17600.0,2023-08-23
Unemployed,,Master's,Retail,Urban,Medium,,8000.0,2023-08-24
Employed,,Master's,Finance,Delhi,High,29.0,,2023-08-25
Employed,45-54,,Education,Mumbai,Low,28.0,7100.0,2023-08-26
Unemployed,18-24,PhD,Technology,,Low,27.0,35500.0,2023-08-27
Unemployed,45-54,PhD,Finance,,Low,0.0,96600.0,2023-08-28
Employed,45-54,PhD,Technology,,High,,136200.0,2023-08-29
Employed,,Master's,Healthcare,,High,15.0,35100.0,2023-08-30
Unemployed,,Bachelor’s,Education,Mumbai,High,,39900.0,2023-08-31
Employed,,Diploma,Retail,Bangalore,High,,77600.0,2023-09-01
,18-24,Master's,Retail,Delhi,,7.0,15000.0,2023-09-02
,18-24,Bachelor’s,Healthcare,Urban,Low,,92500.0,2023-09-03
Unemployed,25-34,Master's,Healthcare,Rural,High,,106800.0,2023-09-04
Unemployed,18-24,Bachelor’s,Technology,Urban,Medium,,79900.0,2023-09-05
,25-34,Bachelor’s,Finance,Bangalore,Medium,,125300.0,2023-09-06
Unemployed,25-34,Bachelor’s,Finance,Hyderabad,High,,,2023-09-07
Unemployed,25-34,Master's,Technology,Hyderabad,Medium,23.0,102200.0,2023-09-08
Employed,45-54,Bachelor’s,,Urban,High,,82300.0,2023-09-09
Employed,25-34,PhD,Healthcare,Mumbai,Low,23.0,102800.0,2023-09-10
Employed,18-24,,Education,Suburban,High,17.0,84100.0,2023-09-11
Employed,18-24,Master's,Healthcare,Hyderabad,Low,6.0,68500.0,2023-09-12
Unemployed,,High school,Finance,Hyderabad,Medium,,,2023-09-13
,18-24,Bachelor’s,Technology,Suburban,Medium,1.0,126900.0,2023-09-14
Employed,,High school,,Urban,Medium,6.0,120300.0,2023-09-15
Employed,18-24,Master's,Technology,Urban,Low,,37000.0,2023-09-16
Employed,25-34,PhD,Retail,Bangalore,High,,119400.0,2023-09-17
Employed,18-24,PhD,Healthcare,Rural,,30.0,144200.0,2023-09-18
Employed,,Bachelor’s,Finance,,Medium,29.0,37500.0,2023-09-19
Employed,35-44,Diploma,Healthcare,,Medium,,26100.0,2023-09-20
Unemployed,35-44,Master's,Finance,,,3.0,104000.0,2023-09-21
Employed,45-54,High school,Education,Bangalore,High,6.0,66200.0,2023-09-22
Unemployed,18-24,Diploma,Finance,,Medium,8.0,106700.0,2023-09-23
Unemployed,55+,Bachelor’s,Finance,Hyderabad,Medium,5.0,88000.0,2023-09-24
Employed,25-34,Bachelor’s,Technology,Hyderabad,High,26.0,103000.0,2023-09-25
Employed,18-24,PhD,,Suburban,High,13.0,114200.0,2023-09-26
Employed,25-34,PhD,Retail,Suburban,Low,,8900.0,2023-09-27
,45-54,PhD,Healthcare,Rural,Medium,,44300.0,2023-09-28
,,PhD,Technology,,Low,,104400.0,2023-09-29
Unemployed,45-54,PhD,Retail,,High,0.0,,2023-09-30
Employed,,Diploma,Retail,Urban,,14.0,129800.0,2023-10-01
,25-34,Bachelor’s,Retail,Mumbai,High,,66100.0,2023-10-02
Employed,18-24,Bachelor’s,Finance,Bangalore,Low,,114500.0,2023-10-03
Unemployed,18-24,High school,Retail,Mumbai,Low,,112900.0,2023-10-04
Employed,18-24,PhD,,Mumbai,Low,3.0,88300.0,2023-10-05
Employed,18-24,Bachelor’s,Retail,Rural,High,,34400.0,2023-10-06
Employed,25-34,High school,Retail,Delhi,Low,26.0,144200.0,2023-10-07
Employed,45-54,Bachelor’s,Technology,Suburban,Low,,8700.0,2023-10-08
Unemployed,18-24,Master's,Technology,Urban,Medium,,13900.0,2023-10-09
Unemployed,18-24,,Healthcare,,Low,4.0,,2023-10-10
Unemployed,25-34,High school,Finance,Mumbai,,,,2023-10-11
Employed,18-24,Bachelor’s,Finance,Urban,High,17.0,78200.0,2023-10-12
Unemployed,45-54,Diploma,Technology,Bangalore,High,,135100.0,2023-10-13
Unemployed,18-24,Bachelor’s,Education,Urban,Medium,,,2023-10-14
Employed,35-44,PhD,,Suburban,Low,,,2023-10-15
Employed,55+,PhD,Finance,Suburban,Medium,7.0,109300.0,2023-10-16
Unemployed,25-34,Diploma,,Delhi,High,,57800.0,2023-10-17
Employed,25-34,Master's,,Mumbai,High,,,2023-10-18
,18-24,Bachelor’s,Healthcare,,High,,113000.0,2023-10-19
Employed,25-34,Bachelor’s,Retail,Delhi,High,,32100.0,2023-10-20
Unemployed,18-24,High school,Finance,Mumbai,Low,3.0,12600.0,2023-10-21
Employed,25-34,Diploma,Retail,Hyderabad,High,,71800.0,2023-10-22
Unemployed,25-34,PhD,Technology,Hyderabad,Low,22.0,,2023-10-23
Employed,25-34,PhD,Technology,Urban,Medium,,101500.0,2023-10-24
Employed,25-34,Master's,Healthcare,Bangalore,,30.0,30500.0,2023-10-25
,18-24,Bachelor’s,Healthcare,Suburban,Low,12.0,78300.0,2023-10-26
Unemployed,18-24,Master's,,Urban,High,24.0,98200.0,2023-10-27
Employed,45-54,Bachelor’s,Education,Suburban,,22.0,105000.0,2023-10-28
Unemployed,25-34,PhD,Healthcare,Urban,High,21.0,141700.0,2023-10-29
Employed,35-44,Bachelor’s,Finance,Suburban,,,146900.0,2023-10-30
Employed,55+,Bachelor’s,Retail,Urban,Medium,,22100.0,2023-10-31
,45-54,High school,Healthcare,Hyderabad,,13.0,83800.0,2023-11-01
Unemployed,18-24,PhD,,Delhi,Medium,,133600.0,2023-11-02
Employed,18-24,High school,Retail,Rural,Low,15.0,102800.0,2023-11-03
Employed,45-54,PhD,Finance,Urban,High,25.0,89300.0,2023-11-04
Unemployed,25-34,Master's,Healthcare,Urban,Low,,61200.0,2023-11-05
Unemployed,18-24,Bachelor’s,Technology,Delhi,,2.0,108300.0,2023-11-06
Unemployed,25-34,High school,,Urban,High,,128500.0,2023-11-07
Employed,18-24,PhD,,Urban,High,,117600.0,2023-11-08
Employed,25-34,High school,Retail,Rural,Medium,,21400.0,2023-11-09
Unemployed,35-44,,Technology,Urban,Low,6.0,137300.0,2023-11-10
Unemployed,55+,PhD,Finance,Bangalore,Low,,62300.0,2023-11-11
Employed,18-24,High school,Healthcare,Mumbai,,15.0,88500.0,2023-11-12
Unemployed,,High school,Education,,Low,,,2023-11-13
Unemployed,25-34,PhD,Finance,Hyderabad,Low,23.0,141200.0,2023-11-14
Unemployed,18-24,Master's,Finance,,Low,,142300.0,2023-11-15
,25-34,PhD,Education,Mumbai,Low,1.0,115000.0,2023-11-16
Unemployed,55+,Master's,Technology,Bangalore,High,21.0,,2023-11-17
Employed,45-54,PhD,Finance,Suburban,Medium,0.0,89600.0,2023-11-18
Unemployed,35-44,Master's,Education,Suburban,Medium,0.0,42700.0,2023-11-19
Employed,25-34,Bachelor’s,Education,Mumbai,Low,18.0,,2023-11-20
Employed,55+,Master's,Finance,Rural,Medium,25.0,38000.0,2023-11-21
Unemployed,18-24,High school,Healthcare,Delhi,Medium,20.0,39800.0,2023-11-22
,45-54,,,Hyderabad,Medium,1.0,31000.0,2023-11-23
Employed,35-44,Bachelor’s,Finance,,High,12.0,61500.0,2023-11-24
Employed,35-44,Master's,,Suburban,Medium,28.0,56800.0,2023-11-25
Employed,35-44,PhD,Healthcare,Suburban,,7.0,15900.0,2023-11-26
Unemployed,55+,Diploma,Retail,Urban,Medium,20.0,96600.0,2023-11-27
Unemployed,55+,Diploma,Technology,Delhi,High,,,2023-11-28
Unemployed,25-34,PhD,Healthcare,Bangalore,,,96100.0,2023-11-29
Employed,35-44,Diploma,,Rural,High,,,2023-11-30
Employed,18-24,Bachelor’s,Finance,Bangalore,,26.0,72400.0,2023-12-01
Unemployed,55+,PhD,,Delhi,Medium,,143000.0,2023-12-02
Employed,35-44,Master's,Healthcare,Hyderabad,High,,35700.0,2023-12-03
,,Bachelor’s,,Suburban,High,9.0,,2023-12-04
Unemployed,18-24,,Retail,Urban,,13.0,8700.0,2023-12-05
,25-34,Diploma,Technology,,High,22.0,141800.0,2023-12-06
Unemployed,35-44,,Healthcare,Urban,Low,,21500.0,2023-12-07
Unemployed,35-44,High school,Finance,,Medium,4.0,126000.0,2023-12-08
Employed,,PhD,Healthcare,Hyderabad,Medium,,,2023-12-09
Employed,25-34,Master's,,,Medium,,92700.0,2023-12-10
Unemployed,25-34,PhD,Retail,Urban,Medium,,,2023-12-11
Unemployed,25-34,Master's,Finance,Delhi,High,,139900.0,2023-12-12
Employed,55+,PhD,Retail,Urban,High,,26900.0,2023-12-13
Unemployed,18-24,Master's,Technology,Mumbai,Low,16.0,,2023-12-14
Employed,25-34,Bachelor’s,,Urban,High,3.0,5400.0,2023-12-15
Unemployed,55+,High school,Finance,,Low,,81100.0,2023-12-16
Unemployed,55+,Bachelor’s,Education,Mumbai,Medium,16.0,,2023-12-17
Unemployed,45-54,,Retail,Bangalore,High,14.0,139700.0,2023-12-18
Unemployed,45-54,Bachelor’s,Finance,Suburban,Low,,112900.0,2023-12-19
Employed,55+,Master's,,Mumbai,Medium,30.0,109900.0,2023-12-20
Employed,18-24,High school,Finance,Suburban,Medium,,112400.0,2023-12-21
Employed,,Bachelor’s,,Suburban,Medium,26.0,108300.0,2023-12-22
Employed,18-24,PhD,Education,Delhi,High,,71400.0,2023-12-23
Unemployed,,Bachelor’s,Education,Urban,Medium,,17600.0,2023-12-24
Unemployed,18-24,Master's,Education,Suburban,Low,10.0,51000.0,2023-12-25
Unemployed,25-34,High school,Finance,Delhi,High,,109800.0,2023-12-26
Unemployed,18-24,Master's,Finance,Mumbai,High,,111300.0,2023-12-27
,18-24,Master's,Education,,Medium,22.0,92900.0,2023-12-28
,55+,,Technology,Urban,High,24.0,28100.0,2023-12-29
Employed,35-44,Bachelor’s,Education,Suburban,Low,16.0,100400.0,2023-12-30
Employed,45-54,PhD,Finance,Suburban,,30.0,,2023-12-31
Employed,25-34,Bachelor’s,Retail,Bangalore,Low,,138600.0,2024-01-01
Unemployed,25-34,High school,Healthcare,Hyderabad,Medium,11.0,,2024-01-02
,18-24,Bachelor’s,Healthcare,Delhi,Medium,30.0,40100.0,2024-01-03
